System,SOURCE_ID,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,e_gmag,e_bpmag,e_rpmag,Radius,Teff
115,371710762131617792,20.171452237006573,39.885306697951286,18.141578674316406,18.102996826171875,18.2894229888916,0.001375631486041868,0.01777076049809778,0.030472886953630717,0.014,16982.437
116,371742098213216768,20.525838105685594,40.16464951439046,18.983922958374023,19.0673770904541,18.902393341064453,0.002339756445861555,0.029874028548335894,0.041310624309542805,0.012,9817.479
117,372133421272673536,20.778351848742926,40.63257837318635,18.449602127075195,18.372745513916016,18.539457321166992,0.0017514972408224465,0.014627387707237394,0.02720311413212487,0.017,16519.618
118,383748460246940032,3.052022857688096,41.903140779417676,17.23592185974121,17.191463470458984,17.376140594482422,0.0008056068274263016,0.004996262545948704,0.0066138170843552105,0.014,16255.488
119,390080921371728128,9.884544939001351,47.43057758925472,19.532747268676758,19.832393646240234,19.387216567993164,0.0027321838620030614,0.03406895500132844,0.05472964119351192,0.011,7396.053
120,411443023552335360,16.405068945519055,55.28863062706539,19.765256881713867,19.815757751464844,19.904624938964844,0.0026655680916244087,0.03781264404573871,0.04640383209767708,0.008,17864.876
121,415107455287526912,12.882940248145887,50.987227233654,18.85964012145996,18.872167587280273,18.965410232543945,0.001518116114079321,0.016392172462707133,0.026728323019027795,0.012,16255.488
122,415937178545266816,8.14924687443235,52.033710515727,18.411354064941406,18.70330810546875,17.960954666137695,0.0010927270711033844,0.012088747753214571,0.011884298091932335,0.012,5861.382
124,421160060640125312,6.555785677244706,54.92856199882571,19.45146369934082,19.526165008544922,19.3770694732666,0.0019913774146490195,0.023551633608005055,0.03931318497850145,0.013,10447.202
125,428086197925129472,6.715461064301729,59.143899518276434,17.902786254882812,17.897178649902344,17.68097496032715,0.0011274298012522543,0.012625864925885511,0.017767418502010215,0.023,9225.714
126,439057090578300416,41.18268947160334,50.52009467880838,17.788320541381836,17.738170623779297,17.553647994995117,0.0013152561465426891,0.019001680323215416,0.027582648539677578,0.012,9527.962
127,441868232572345088,51.06357318524014,50.471524105012996,19.746728897094727,19.90733528137207,19.556236267089844,0.0033612347071331258,0.038137215755124895,0.05484231206713111,0.012,9506.048
128,446203228969067392,48.214920287389816,53.027875158859835,17.916797637939453,18.000282287597656,17.74507713317871,0.0010095263011543803,0.007092449703373483,0.013658411409304795,0.011,8851.156
129,448560410099145088,52.96867377574543,56.44231393303731,16.68538475036621,16.55768585205078,16.752809524536133,0.0009645498832514731,0.008056979158932867,0.01043774614391515,0.013,16788.040
130,451277681288060160,38.734484330560136,51.06478136654547,19.055992126464844,19.34147071838379,18.671588897705078,0.002102381316690625,0.036091430135323704,0.028990786557984788,0.013,6194.411
131,455168200100958336,33.014713973240916,52.39244505991806,19.25559425354004,19.289281845092773,18.917400360107422,0.0020538210796186506,0.02555264040808201,0.03765702589386354,0.014,8298.508
132,485177377115612544,88.76216443007146,70.10362223891812,19.639616012573242,19.632341384887695,19.56796646118164,0.0022616550854390256,0.029927870654533402,0.04762883983840675,0.015,12735.031
133,486485177477467520,53.413059700838005,61.33051339281841,18.253746032714844,18.379926681518555,18.166261672973633,0.0013765295303815091,0.012604133318444762,0.021997283448592468,0.015,9418.896
134,486624570643808128,54.80132410718729,62.03496546406247,19.97264862060547,20.444719314575195,19.320539474487305,0.0036199342823530945,0.06667235910140747,0.03793044465459197,0.014,4698.941
135,495058241441193728,59.99910199367615,70.91851855972237,18.48638343811035,18.81777000427246,17.913402557373047,0.0011127659479851237,0.022050918592146668,0.01568451258344892,0.014,5308.844
136,497837733818729984,82.51811510468183,70.90284751170006,18.5669002532959,18.791521072387695,18.19469451904297,0.0010685894139615861,0.024933455669948004,0.0197537112348477,0.011,6516.284
137,501910737204155648,67.96653857884914,73.67695130944813,19.70304298400879,19.91100311279297,19.608230590820312,0.002673758865501228,0.04239411294723009,0.041177049336274654,0.011,8609.938
138,502072056178960000,71.48773873494028,74.74405831623454,19.746761322021484,19.82091522216797,19.70773696899414,0.002966083288543647,0.05407500745680363,0.06021983243299105,0.012,11912.420
139,502460493018037760,75.12297994864842,73.58573935383303,19.232810974121094,19.737276077270508,18.649866104125977,0.0019847609303906117,0.03870961078081735,0.027459157456937732,0.014,4797.334
140,513557971255935744,36.82361725316497,61.40766879633923,18.720531463623047,18.74171257019043,18.647863388061523,0.0013450195374808212,0.01736810188763956,0.026721082577472906,0.017,14354.894
141,514466683260339840,36.842862598630944,63.930429435413195,18.735271453857422,19.109487533569336,18.20526695251465,0.0011527234417673799,0.01776995244065738,0.01659477912792141,0.014,5308.844
142,518201792978858880,27.965393161643807,64.43036727635183,13.947423934936523,14.041716575622559,13.770598411560059,0.0003118310402676184,0.0004999038131976478,0.0009088429684495102,0.012,8669.619
143,518966292856747520,30.838770889562596,67.3532457600671,17.36676597595215,17.399320602416992,17.340269088745117,0.001764075983822632,0.01162160940280426,0.01143310814193647,0.013,10914.403
144,533214967118929024,17.12170199566277,70.30085007095398,19.121706008911133,19.58060646057129,18.642702102661133,0.00197922680821921,0.027445645445473628,0.01848886403970275,0.014,5211.947
145,538576842945740288,10.246188763363122,74.13947839279201,19.185815811157227,19.09929656982422,18.908950805664062,0.0024735459100713886,0.042168980331981694,0.044732610631380405,0.012,9749.896
146,547310538686515456,44.521052488685534,73.32929993872844,19.408342361450195,19.4891300201416,18.80463981628418,0.00254286242810937,0.06321264078009782,0.07121009951720478,0.010,6095.369
147,554350711636659328,52.28639239082659,77.15658535741734,18.23253631591797,18.214811325073242,17.81981086730957,0.0013304222594671007,0.02533273838143493,0.03414076860368191,0.013,7709.035
148,558441062394445184,89.04127472231696,83.96506078874307,18.34332847595215,18.342552185058594,18.446102142333984,0.001238785114589006,0.010829503509927237,0.024496687751042773,0.011,14092.888
149,559185332982600576,35.094552377553015,75.01481521774151,18.866880416870117,18.867738723754883,18.6648006439209,0.001856231985967007,0.035295190817376816,0.037453706791974704,0.012,9375.620
150,566374176233595008,13.413127342314137,80.44552639209363,19.221269607543945,19.633325576782227,18.792753219604492,0.0023195965829690794,0.05158539316180165,0.034841101207818324,0.011,5508.077
151,566469013401234560,13.748529172576966,80.5607495424881,17.628520965576172,17.58565902709961,17.35312271118164,0.001153669937568448,0.012852766959714646,0.03448920506334237,0.015,9015.711
152,568072238794453120,53.46615851573639,80.48883318598787,17.740215301513672,17.728727340698242,17.86067008972168,0.0009521413891782276,0.0068138417933182255,0.009980400628888912,0.015,14521.116
153,577571774444224640,136.32063416744666,3.268050851523948,17.454713821411133,17.404766082763672,17.621170043945312,0.0010820993188230012,0.006438795601526835,0.012763883751130972,0.014,17218.686
154,577696019258446720,133.64299625611739,1.9660838316616522,18.697616577148438,18.778961181640625,18.65164566040039,0.001351813080637429,0.013200260196545925,0.02155312983174763,0.013,10069.317
155,578242442177038464,134.36454406822227,2.9680626343646437,17.893383026123047,17.848108291625977,18.06351089477539,0.0007885096970828765,0.006995095537551285,0.01287706273021016,0.015,17179.084
156,578863941124852480,138.71163241184473,3.2471767951144708,18.088890075683594,18.008329391479492,18.256423950195312,0.0013664609917414788,0.01343910834427447,0.02353200423822719,0.013,18793.168
157,579835153490062976,139.08368613695637,5.800574499280293,17.6218318939209,17.886661529541016,17.227731704711914,0.0009648025562926225,0.012017459567029742,0.008751003137726959,0.013,6223.003
158,579931846088268928,135.82000993330107,4.1996964805455335,16.185110092163086,16.120447158813477,16.347543716430664,0.0006687694614180489,0.0029039945193607736,0.00411574104487936,0.014,17538.805
159,582222433752256384,130.80843561384629,4.525272863033223,17.83544921875,17.88726806640625,17.81340789794922,0.0009789077647676472,0.008291307237459187,0.013176783613124524,0.013,10665.961
160,582901519620616192,132.86754437663564,6.097381633137913,16.817344665527344,16.84373664855957,16.818206787109375,0.0010559803335035676,0.004601893971296708,0.005741909662202546,0.014,11271.975
161,583027727234795392,130.93967059570562,5.9750923869200445,16.49529266357422,16.393674850463867,16.72066307067871,0.0005766180456640054,0.0024122412850826063,0.003884561512535551,0.025,22335.722
