log(L),logg,age(Gyrs),Radius,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
-1.6888,7.7396,0.0826,0.0158,8.9621,17378.00828749376,8853415.476432875,16133081.61768399,3895458.208924152,14189310.623001652,22732823.40809654,7651477.299558428,3316395.255823101,1529633.5202319399
-1.6029,7.7337,0.0689,0.016,8.7473,18197.008586099826,9442023.000611799,17347286.03490341,4108778.770601487,15786123.812077757,24409989.178393308,8115205.142168399,3494141.5438908143,1604654.7303912244
-1.5167,7.7275,0.0575,0.0161,8.5318,19054.607179632483,10202186.709928494,18896429.55362172,4391986.245746828,17767393.378808454,26545798.90588108,8721028.705148079,3730857.891378935,1706278.0894048607
-1.4303,7.721,0.0478,0.0162,8.3157,19952.62314968879,11030494.69921739,20591191.41193728,4698104.735704043,19974938.043067552,28876032.577723686,9377982.952751333,3987222.1203147895,1815981.989386795
-1.3435,7.7143,0.0397,0.0163,8.0988,20892.96130854041,11934653.387999164,22449997.4504951,5030110.37279893,22437799.410674125,31427681.514178827,10091698.318359116,4265061.033066513,1934667.5940352406
-1.2564,7.7071,0.033,0.0165,7.8809,21877.616239495517,12769595.220538532,24202688.786187645,5326780.914318668,24883277.426171757,33818914.50116923,10741169.73798435,4512451.744809262,2038795.5528263452
-1.1688,7.6995,0.0274,0.0166,7.662,22908.676527677748,13851246.025338653,26444498.097010978,5717636.576732257,27934396.54569331,36886833.559974015,11587861.397161733,4840433.779327501,2178137.990573539
-1.0808,7.6915,0.0229,0.0168,7.442,23988.329190194898,14870530.288297381,28597820.860876393,6075389.971743662,31001085.905189842,39813374.471472904,12374307.517009653,5139512.133166011,2303578.426293338
-0.9924,7.6831,0.0193,0.0169,7.221,25118.864315095823,16196143.279766742,31371703.055242896,6549065.201394945,34867600.45366464,43590730.09013758,13404359.248923317,5536139.8176670065,2471315.293680636
-0.9033,7.6741,0.0163,0.0171,6.9983,26302.679918953814,17498176.730256334,34138095.111598335,7001651.697500649,38883311.91842833,47342951.692651846,14403473.809085015,5915456.135747664,2629719.006301587
-0.8136,7.6644,0.0138,0.0173,6.774,27542.28703338169,19007841.990386385,37350747.56894444,7526282.527607106,43593653.080863744,51683908.141916804,15561349.676178018,6354015.250479703,2813515.808981386
-0.7233,7.6541,0.0118,0.0175,6.5483,28840.31503126606,20781118.649894167,41129687.27903561,8145478.957111836,49194819.63471818,56776871.01900492,16922455.107470017,6870437.002104956,3030438.4569766745
-0.6324,7.6431,0.0101,0.0178,6.3209,30199.51720402019,22606067.223479006,45051732.85637537,8778750.75596807,55217337.961830385,62030823.6183461,18315528.859967533,7396401.099696895,3251034.3739057872
-0.5405,7.6312,0.0087,0.018,6.0912,31622.776601683792,24952841.5666676,50050278.0630235,9612751.450373795,62749527.477726676,68710410.31210367,20124006.912135612,8088638.922495955,3545165.8390465626
-0.4481,7.6189,0.0074,0.0183,5.8603,33113.112148259075,27144562.09592743,54758220.388812914,10385096.680665664,70018578.65611552,74973083.46827115,21807068.539775413,8728875.10728887,3817327.197567949
-0.3553,7.6061,0.0064,0.0186,5.6283,34673.685045253165,29341285.072928343,59468312.69934542,11159553.921969526,77305355.48177633,81242197.82618651,23491653.131379638,9369460.198972166,4089928.1406564866
-0.2611,7.5918,0.0055,0.0189,5.3927,36307.8054770101,31586493.106641036,64284740.70215576,11952785.20271401,84713351.04375014,87660500.07754017,25214819.271822628,10027134.73858767,4370568.765201885
-0.165,7.5757,0.0047,0.0193,5.1524,38018.93963205613,33597766.02398248,68611495.69305517,12656630.616909083,91445186.92328565,93422811.76133454,26748833.657500286,10608789.717171542,4618563.807965621
-0.0673,7.558,0.004,0.0197,4.9082,39810.71705534969,35708578.913920835,73144058.23035005,13399860.314141756,98442586.89999922,99456941.54451418,28361357.594315395,11222458.466672983,4880778.6663339995
0.0322,7.5386,0.0034,0.0201,4.6596,41686.93834703355,37986816.99337023,78018822.24051276,14204979.411523318,105896926.40843214,105968170.71517621,30106991.030956756,11890177.673385045,5165941.111607213
0.134,7.5168,0.0028,0.0207,4.4051,43651.58322401656,39767137.27158449,81871135.51825294,14822860.878998956,111957909.10186112,111087926.68262658,31460004.261566486,12399374.24149001,5382708.67146645
0.238,7.4927,0.0024,0.0213,4.145,45708.818961487515,41820171.787445635,86288376.51088677,15543668.180612952,118805422.50722282,116973731.78377603,33026325.823947582,12996345.618318822,5637705.156124325
0.3439,7.4669,0.002,0.022,3.8804,47863.0092322638,43762251.50202582,90478656.49414691,16220616.697802301,125334348.64421457,122552504.37840079,34502781.38229624,13556110.413321882,5876736.311210629
0.4519,7.4389,0.0016,0.0228,3.6104,50118.72336272725,45527659.5843502,94293511.85108085,16834608.82579746,131294270.95742697,127625618.03370498,35841796.857505284,14064061.768005487,6092448.574152558
0.5629,7.4079,0.0013,0.0237,3.3328,52480.74602497723,47481926.05259628,98513287.63526328,17515237.534597106,137879207.33350468,133263391.03384288,37325254.36183735,14625939.31327274,6332349.459700978
0.6766,7.3742,0.0011,0.0247,3.0485,54954.08738576248,49530317.603862435,102924223.28928252,18230509.94429618,144770996.40168536,139140527.55868176,38885309.6365,15216212.075260667,6584270.423045544
0.7928,7.338,0.0009,0.0258,2.7581,57543.993733715666,51711318.04250561,107624734.45066594,18992988.772566646,152053372.83882153,145414642.6146122,40545256.86217828,15848240.284981554,6853338.0437763035
0.9115,7.2992,0.0007,0.0271,2.4612,60255.95860743581,53699029.5997476,111926499.92793418,19681316.33221755,158802336.58531916,151143324.45027497,42049504.86080934,16416549.38079995,7095172.91919965
1.0305,7.2603,0.0006,0.0284,2.1639,63095.7344480193,55896979.327459805,116668825.19580734,20445420.32347302,166202973.70327118,157460226.60134143,43718251.88306619,17049191.11308858,7365205.790629423
1.1499,7.2209,0.0004,0.0297,1.8653,66069.34480075965,58381079.44961338,122022131.26178356,21312766.397544872,174486797.34673977,164609408.20276368,45606481.636592515,17767550.58124272,7671294.708796898
1.2714,7.1793,0.0003,0.0312,1.5614,69183.09709189362,60712180.54314687,127058088.32398467,22125013.043575753,182375410.30503207,171308283.75989532,47379478.915185854,18437892.183024604,7956322.49225587
1.396,7.1347,0.0003,0.0329,1.25,72443.59600749906,63170341.31645286,132360899.20895246,22976344.143231727,190653013.4550386,178375727.05291447,49238824.02945876,19143822.691055372,8256381.843639635
1.5251,7.0857,0.0002,0.0349,0.9273,75857.75750291836,65713434.39756563,137854405.88825262,23859529.181914855,199243708.26189816,185710602.19978294,51164485.83069766,19874197.67780845,8568222.033643777
1.6605,7.0302,0.0001,0.0373,0.5886,79432.82347242821,68531045.23515804,143937462.18452427,24839054.46842458,208707380.08540034,193816117.0484105,53304245.9842987,20686298.895506803,8913410.383899208
-5.2756,8.046,17.6108,0.0122,17.929,2511.88643150958,26822.876994178318,30093.44058381392,22382.73031896759,345.04505575184197,22243.74413538214,39948.43834844398,16027.315928216667,9765.666854074589
-5.1954,8.0458,17.0315,0.0122,17.7285,2630.2679918953813,31525.744971360582,33216.345064457026,27863.332793113477,421.0326820850017,24792.93209062056,44122.46900332341,20780.729907927504,12848.780343142224
-5.1152,8.0456,16.4485,0.0122,17.528,2754.2287033381663,36859.153577767305,36632.945806125535,34184.80147279143,509.51363275455805,27680.11504676644,48553.41782851298,26279.723878049404,16567.687896268082
-5.035,8.0454,15.8578,0.0122,17.3274,2884.031503126606,43090.87947134127,40688.515345492,41532.977049092944,623.9011823487645,31241.213215553027,53631.48307222034,32642.303450108448,20992.39089505443
-4.9547,8.0451,15.2625,0.0122,17.1269,3019.9517204020162,49978.74632262859,45064.21844908689,49786.66802740281,777.8140946351197,35250.7117949529,58914.17584508505,39699.11248487261,26212.10534423146
-4.8745,8.0449,14.6623,0.0122,16.9263,3162.2776601683795,57802.33171674759,50191.69282662017,59084.43162398573,991.4613952665109,40165.011055986295,64866.401621357596,47483.289480305975,32292.517580101692
-4.7942,8.0446,14.0496,0.0122,16.7255,3311.311214825911,66378.1826785546,56165.78633297023,69054.67125612695,1295.0180112036924,46085.88065579971,71571.44848381392,55608.45099999807,38985.39193264795
-4.7139,8.0443,13.4198,0.0122,16.5247,3467.368504525317,76009.05935666391,63578.729260134314,79732.0741711518,1716.9427280073894,53674.48558313798,79590.23860461924,64147.65691379933,46138.333582053514
-4.6335,8.0439,12.7699,0.0122,16.3237,3630.780547701014,86525.74712548821,72508.98795134094,90763.8819098066,2352.2084655582107,63149.20548760611,88899.59995827267,72855.24076820236,53404.99818965427
-4.553,8.0434,12.0477,0.0122,16.1224,3801.8939632056126,98624.62343046325,83843.97184746627,102639.15361434704,3339.4566381910477,75552.33496086652,100281.26567978776,82250.92632713754,60855.790012039484
-4.4724,8.0428,11.2478,0.0122,15.921,3981.0717055349733,112861.38045191209,98326.78596229563,115737.22417377277,4912.1973746037675,91928.0167653942,114261.46990069185,92713.03492402907,68583.85691812649
-4.3916,8.042,10.3028,0.0122,15.719,4168.693834703355,131046.47939860188,118095.09054520965,131556.7275934899,7643.2102905441425,114912.66344633553,132611.07837093412,105531.1808557277,77343.1586936163
-4.3106,8.041,9.1829,0.0122,15.5164,4365.158322401661,156136.83008183498,146795.19611098143,152388.80453183156,13007.559125861617,148979.97286798008,158146.58078881382,122580.33326783213,88320.57843004563
-4.2292,8.0396,7.9822,0.0122,15.313,4570.881896148751,187596.77063613164,184311.24955845636,177546.88701808915,22118.506996383207,194020.6212461893,190379.33552443664,143304.81993452527,101125.78471787252
-4.1474,8.0378,6.6436,0.0123,15.1084,4786.300923226385,224127.3191616182,230431.20024816832,205221.33127573525,37731.602204821844,250217.29760422852,227766.1837247714,166237.97357438333,114680.96616870303
-4.0651,8.0355,5.2883,0.0123,14.9027,5011.872336272725,273007.63730374066,293076.6926747231,242093.14958896145,65058.67994870139,325504.7491209592,277567.9035045185,196811.39345911785,132742.91278282442
-3.9824,8.0328,4.1416,0.0123,14.6961,5248.074602497728,336182.26312654524,376756.95823998074,287860.781803244,101987.10101426743,427993.6536839766,342112.7383398437,234795.7525319145,154557.94799433622
-3.8998,8.0302,3.4033,0.0124,14.4895,5495.408738576249,405342.04013202206,473138.3320224398,334926.3781814814,149965.75547562077,548787.4636018996,412340.59921184875,274016.73596582736,176188.75864333776
-3.8174,8.0278,2.9244,0.0124,14.2835,5754.399373371566,490932.3478850765,596359.4897721551,390831.3143062103,215512.3187855502,706259.3036249771,498168.3104801947,320550.96511066525,201584.9919753061
-3.7353,8.0257,2.5177,0.0124,14.0783,6025.595860743575,591046.4987792373,744368.7537027915,453972.29871478217,301073.20078245987,897520.0968337057,597387.4542119072,373230.46749896946,229814.90690576524
-3.6535,8.0239,2.1859,0.0125,13.8738,6309.57344480193,694520.3786123957,905256.1392946481,514769.369972147,405075.0030953928,1109449.4678304559,698231.5069823168,424150.939296281,256024.5078709739
-3.5719,8.0223,1.9205,0.0125,13.6698,6606.934480075957,823540.5599238022,1107774.7932449658,589620.6665916,541421.4330023353,1376916.2524935845,822620.3369722357,486855.89517234557,288377.61121295067
-3.4904,8.0208,1.6926,0.0125,13.466,6918.309709189362,971236.4957174521,1343542.716175165,672934.3499250865,706733.1194025209,1690703.7899008335,963650.2580004734,556981.0673709963,323982.4908274529
