teff,logg,Gaia_G_mag,Gaia_BP_mag,Gaia_RP_mag,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
7133.439791331194,9.1258666,15.255678559505858,15.45953713536469,14.901753808833545,16.18633238952451,15.537866996020897,15.264115851092376,15.22348877980893,15.30855764132147,1224278.3760478832,1661358.0262093074,845624.9400515377,764943.0399697776,2055073.3956022838,1219157.2084608616,706889.4994,394570.9366177644
7074.862438712191,9.1258744,15.284307598690164,15.49261805334804,14.924643070328495,16.23464333,15.573875978767889,15.29145702258637,15.24649439314181,15.329338118122132,1192465.5986472666,1611566.2460083026,828017.2307695745,731681.4064895256,1988112.884051992,1188886.8900831924,692096.3852247447,387106.26303809625
7017.315452492148,9.1258821,15.312390578785545,15.52507460439614,14.947087248746408,16.282062000654115,15.609209076154906,15.318274802757005,15.269052862560068,15.349710605036124,1162017.4955595075,1564103.6956197962,811076.2845457762,700413.5655040257,1924455.1794363714,1159880.9778503377,677864.9726778767,379910.4180528806
6960.973813649653,9.1258895,15.34086632718172,15.558144526835152,14.970041205498704,16.33032758242176,15.645173888525369,15.345510753661328,15.29204120583398,15.37047904720332,1131982.371963031,1517242.0458762108,794140.6308635608,669985.8218716126,1861826.348,1131192.0437719335,663689.8136,372727.23056950676
6905.895463113021,9.1258968,15.369068080569468,15.590972861667973,14.992844485667367,16.378248092568114,15.680866297586094,15.372500017670772,15.31484448600264,15.391077603617523,1102957.9678299606,1472053.3008881866,777635.5466029049,641058.124,1801615.9101075197,1103419.4531653163,649895.9641433327,365722.5168633361
6849.754399801594,9.125904,15.397813998235284,15.624434628651946,15.01608775626348,16.427093247364603,15.717247399862265,15.400010037878557,15.338087756598751,15.41207358595082,1074139.2721636193,1427377.4409802777,761164.9753665298,612857.2757639844,1742247.1691585795,1075812.6042228045,636130.9583891379,358718.1134807102
6789.706478864975,9.1259112,15.428603608141042,15.660268263916382,15.040991777158506,16.479380819324614,15.756203527015405,15.42947772956477,15.362991777493782,15.434573904490499,1044147.9686574262,1381092.1954997503,743934.1313757707,584065.5811347497,1680910.5896140018,1047048.618314534,621730.5673353862,351374.69048933446
6734.137814446876,9.1259178,15.45759556570233,15.69405488677322,15.064378778462594,16.52861631878449,15.793006617906403,15.457278787857316,15.386410736101997,15.455641542594126,1016635.486158808,1338776.3197118845,728080.9765878821,558171.1870423469,1624887.7960601451,1020578.5227558125,608463.6475,344622.33511128806
6679.085454312687,9.1259244,15.487698308826499,15.72922244702973,15.08853584029227,16.57964054,15.831477319770968,15.486282115621744,15.410678718573415,15.477265327136156,988875.1525694056,1296159.045,712088.8016,532567.9458349121,1568383.9633141765,993716.2470401124,595038.0535753221,337840.10538536153
6624.6356897455225,9.1259308,15.517428791891273,15.763962308434685,15.112385723183792,16.630063516545103,15.869484167049954,15.514925239737384,15.434638319165174,15.498609651486483,962164.3718533386,1255342.840861053,696617.2153528912,508400.3397443487,1514431.568921508,967843.5070213212,582050.8129686663,331263.41458362195
6576.0786692057845,9.1259376,15.543941766458609,15.794942528891674,15.133654512332832,16.67502958866281,15.903377808739329,15.540468558039194,15.456004964427933,15.51764402121806,938953.4920782675,1220029.3035074316,683103.7779293279,487774.84912220365,1467885.5572589291,945339.519,570708.3701394876,325506.54563927255
