log(L),logg,age(Gyrs),Radius,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
-5.2261,9.0982,6.3716,0.0051,17.8053,3981.0717055349733,127492.50876645607,114406.6193479868,127906.4281579962,5267.628246520231,107356.21712330916,132311.96394165035,103238.1246638381,73411.0124731424
-5.146,9.0981,6.2994,0.0051,17.6051,4168.693834703355,147070.1946261818,135111.13821889312,145322.3362955512,7626.672855366965,131324.93665707883,151732.6755127319,117230.36223112604,83429.80218047486
-5.066,9.098,6.215,0.0051,17.4049,4365.158322401661,171302.88103304707,162544.07846642772,165596.96435630994,11699.710559350062,164054.14206586545,176294.64303262852,133696.52117092602,94388.96279881998
-4.9859,9.0979,6.106,0.0051,17.2047,4570.881896148751,201913.17928095677,199090.7820843733,189903.23860395714,18945.022168989202,208711.89438777434,207529.15408354532,153631.44200497825,106895.94078541434
-4.9058,9.0978,5.9707,0.0051,17.0044,4786.300923226385,242708.3216868854,249971.87778405767,220928.81912818743,31954.727458797173,271836.1433140958,249229.31040729725,179225.62639296157,122292.89156539844
-4.8256,9.0977,5.7913,0.0051,16.804,5011.872336272725,288300.01643554034,309692.83137782867,254362.08208154154,56360.53640583641,345961.0447956654,295120.3218406351,206918.87423601316,138573.82788406534
-4.7454,9.0975,5.5478,0.0051,16.6035,5248.074602497728,348565.7146566995,390527.07860319276,297229.81504864496,91726.56237492761,446752.7145104115,356155.05750733445,242527.0068323518,158928.29118520848
-4.6652,9.0972,5.2469,0.0051,16.4029,5495.408738576249,423062.6321956658,493868.30193476385,348315.1553709264,142185.43723039542,576590.1247999548,431359.2504154546,285023.1312563414,182625.41415685244
-4.5849,9.0969,4.8909,0.0052,16.2022,5754.399373371566,492105.6281944761,597894.8568017286,390576.4341988415,203062.057703427,711739.165720117,500187.4384091594,320430.44420977525,200823.66044114015
-4.5045,9.0966,4.5355,0.0052,16.0013,6025.595860743575,588651.604433873,740943.0309330869,451633.38337072555,289780.24998349836,895284.0862180109,595789.4117607436,371444.3629287752,228105.03874184276
-4.4242,9.0963,4.2468,0.0052,15.8006,6309.57344480193,699034.052085808,909127.5475496297,518831.1421827376,398023.56269250053,1113886.3062991693,704065.0409471005,427615.8278062717,257593.48738311185
