log(L),logg,age(Gyrs),Radius,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
-0.5297,6.4211,0.0025,0.0458,6.0643,19952.62314968879,18628336026.486355,30500049825.485413,9287562887.081524,27427392023.675667,40550535725.957436,18695130971.83645,10441658928.728561,6303338208.527371
-0.4188,6.3901,0.0023,0.0476,5.7869,20892.96130854041,17246108494.544357,28236937943.970768,8598423228.61101,25392272175.580383,37541675093.65394,17307947237.025547,9666885034.27467,5835628822.000279
-0.3047,6.3561,0.0021,0.0495,5.5017,21877.616239495517,15947573832.302353,26110855837.539528,7951010474.220056,23480377351.104187,34714998779.796906,16004756466.386295,8939023134.479414,5396238897.963619
-0.1868,6.3182,0.0019,0.0518,5.207,22908.676527677748,14562820613.362516,23843608665.617397,7260611579.455318,21441538812.980957,31700640181.34694,14615037988.31376,8162833527.846254,4927674885.487454
-0.0639,6.2753,0.0018,0.0545,4.8997,23988.329190194898,13155641034.457989,21539642964.710457,6559031534.200047,19369680870.143265,28637463432.43746,13202812736.895216,7374073372.698656,4451522383.548643
0.066,6.2254,0.0016,0.0579,4.575,25118.864315095823,11655955799.737753,19084218373.030514,5811330778.293135,17161622416.27457,25372918515.395603,11697750135.503418,6533461430.808935,3944068404.4419856
0.2061,6.1653,0.0014,0.0623,4.2247,26302.679918953814,10067668940.635418,16483726935.099215,5019455751.685056,14823111543.982292,21915503804.19844,10103768214.115156,5643186011.676063,3406633969.5656233
0.3631,6.0883,0.0012,0.0685,3.8322,27542.28703338169,8327677080.845827,13634849915.484303,4151944890.928166,12261238127.666477,18127854602.844555,8357537328.94944,4667876058.449183,2817866558.6307964
0.5479,5.9835,0.0007,0.0782,3.3702,28840.31503126606,6389862504.594886,10462079086.99106,3185805203.7953844,9408100843.882338,13909580942.072159,6412774401.620052,3581681411.5649066,2162161151.4405575
-4.9235,7.3922,18.0766,0.0182,17.0488,2511.88643150958,26412.058065325567,27606.33341455725,23561.880415611606,275.53241200993534,19395.669546735076,37843.970220190444,17309.22738551285,10853.224588298866
-4.8426,7.3913,16.8398,0.0182,16.8466,2630.2679918953813,30945.837691913574,30381.466193665106,29027.520969766265,341.61166651881285,21740.2621300526,41483.6242692213,22073.829471603425,14098.041675481527
-4.7616,7.3903,15.6559,0.0183,16.6441,2754.2287033381663,35760.43885731127,33223.801653506904,34927.744701979274,416.1532498930893,24271.989341597986,45052.33331853056,27221.890308761365,17743.503910746007
-4.6805,7.3892,14.532,0.0183,16.4413,2884.031503126606,41583.67231604502,36705.346261787374,42065.93476295467,521.1146595606525,27440.079970697247,49307.988789493094,33330.22762638532,22335.690679631305
-4.5993,7.388,13.4778,0.0183,16.2382,3019.9517204020162,47982.49645417807,40604.04733266953,49894.255192066565,665.6612720005785,31127.58105877307,53901.057841784626,39880.28742111256,27575.245433568463
-4.5179,7.3866,12.4632,0.0183,16.0347,3162.2776601683795,55228.44810114534,45399.317638452136,58507.36564361615,862.1310577021939,35788.654635784864,59379.602850273404,46915.70854554539,33431.77124951315
-4.4363,7.385,11.5013,0.0184,15.8308,3311.311214825911,62108.26156263611,50053.662253933486,66667.94637550812,1154.8346975567626,40671.66073302924,64355.226330014855,53375.85110024943,39284.924244990005
-4.3544,7.3831,10.5654,0.0184,15.626,3467.368504525317,70923.37162264546,57163.11130880599,76200.36952769739,1554.675748371949,47899.6021454603,72088.14031538117,60895.4456481505,45631.62344346145
-4.272,7.3807,9.6355,0.0185,15.4201,3630.780547701014,79976.34683845841,65434.68981296575,85256.84685560763,2221.324533437356,56799.44542436523,80500.02425534613,68026.32385549185,51389.93983388014
-4.1891,7.3777,8.7041,0.0185,15.2127,3801.8939632056126,91546.46153029779,76265.4870333657,96607.149204491,3269.2792136726202,68647.40036032312,91402.06575497802,77011.75177005379,58494.91432588877
-4.1053,7.3739,7.7718,0.0186,15.0032,3981.0717055349733,106237.81523326265,91479.88635039303,109973.1930785729,5203.428383153508,85897.72540710134,106001.8828842453,87755.54559726908,66172.21583092
-4.0203,7.3689,6.8204,0.0187,14.7907,4168.693834703355,123692.05539577159,110588.07331052807,125091.99256612804,8415.351427140715,107945.44949728383,123724.65599171197,100086.90184891649,74366.6730696225
-3.9336,7.3623,5.856,0.0189,14.574,4365.158322401661,147062.31933610904,137425.68059883695,144447.19577705456,14191.616335081892,139445.32019075344,147684.82056822116,115999.69591813203,84414.67595748509
-3.8447,7.3534,4.9223,0.0191,14.3518,4570.881896148751,177794.48474089097,174038.27509956787,169264.54141791188,25732.900190008408,182431.91530442756,179107.07172514225,136468.9105775775,97067.72063199298
-3.7535,7.3421,4.1356,0.0193,14.1236,4786.300923226385,218288.2711869701,223664.41162911887,201167.63277755587,43828.92835327773,240820.211889403,220731.77213442491,162864.27903564184,113017.82574466875
-3.6606,7.3293,3.6019,0.0196,13.8915,5011.872336272725,268579.5096728594,287924.99111956864,239001.4747350718,69209.12001770484,318079.3018450775,272563.26648700755,194244.3147112878,131361.9005813346
-3.5682,7.3169,3.2512,0.0199,13.6606,5248.074602497728,329275.0819585451,368778.2949384216,282544.31319446693,104493.50989217694,417466.27750375756,334775.22855460277,230416.8877495968,151983.14011849702
